method,chosen_param,n_clusters,noise_share,silhouette_score,davies_bouldin_score,largest_cluster_share,interpretability_score,balance_score,inverse_db_score,silhouette_score_norm,inverse_db_score_norm,balance_score_norm,interpretability_score_norm,selection_score
KMeans,k=4,4,0.0,0.28759101338669046,1.1653978764907347,0.4318917889121737,0.4698886543398601,0.5681082110878263,0.8580760443902785,0.4040807805661364,0.753589970743788,0.9290494581008807,1.0,0.7315036860620373
HDBSCAN,min_cluster_size=40,2,0.013335873499714232,0.39147778694340185,1.0783189826880448,0.8285383278625217,0.3824010834620635,0.17146167213747832,0.9273693740484745,1.0,1.0,0.0,0.0,0.6486664126500287
GaussianMixture,k=4,4,0.0,0.21714749154630741,1.547609358729035,0.4016003048199657,0.4219054590826742,0.5983996951800343,0.6461578914340788,0.0,0.0,1.0,0.4515427188599253,0.34030854377198505
