model,cv_roc_auc,cv_pr_auc,cv_f1,cv_brier_score,holdout_roc_auc,holdout_pr_auc,holdout_f1,holdout_brier_score,train_rows,holdout_rows
LightGBMClassifier,0.7953644622016293,0.7489550502752923,0.6434068651990992,0.1838850067590659,0.8083713399698083,0.7777436655826195,0.5979090138457192,0.18371512221817105,28977,5249
CatBoostClassifier,0.7920921892682268,0.746869060433648,0.6384181008443927,0.18388930550610075,0.8039548857368006,0.7726975789052455,0.5936794582392777,0.18461444701282978,28977,5249
XGBoostClassifier,0.7904728170922253,0.7444349722391671,0.636787157169093,0.185269291205806,0.8035711106838703,0.7726324565906786,0.5935995468705749,0.18507859291100823,28977,5249
LogisticRegression,0.782988410645955,0.7307865394458227,0.647961608082804,0.1926391443674327,0.796104631291122,0.7564519725258143,0.6647440519105984,0.1813933796202731,28977,5249
