model,cv_mae,cv_rmse,cv_r2,holdout_mae,holdout_rmse,holdout_r2,train_rows,holdout_rows
LightGBMRegressor,608.1526916119668,2322.4970295079097,0.5612395948987176,639.7973969876664,3110.1353011211113,0.5640409431046712,11522,2241
XGBoostRegressor,602.2991685004333,2383.9771186062076,0.5443791016907712,637.0803754571303,3255.451769328266,0.5223501232033567,11522,2241
CatBoostRegressor,602.7169364484549,2379.4696291065957,0.5454726375937325,648.7257866220586,3381.587961175281,0.4846188663897594,11522,2241
RidgeRegression,28828.406160712068,1110906.187758802,-346245.59883302654,1367.479398289969,18074.84200954116,-13.724350902697916,11522,2241
